id,priority,status,check,notes
C-001,P0,PASS,Robots.txt file exists and is accessible at /robots.txt,Verified /robots.txt returns 200.
C-002,P0,PARTIAL,No unintentional blocking of important pages,robots.txt blocks only non-existent/removed transactional paths; verify per-store additions.
C-003,P1,PASS,Sitemap URL referenced in robots.txt,robots.txt references /sitemap.xml.
C-005,P1,NT,Test/staging environments blocked,Requires environment-specific rules (staging/test).
C-008,P0,PASS,XML sitemap exists at /sitemap.xml,Verified /sitemap.xml returns 200.
C-009,P0,PASS,Sitemap is valid XML format,Sitemap is well-formed XML via next-sitemap.
C-010,P0,PARTIAL,All indexable pages included in sitemap,Sitemap includes key static + dynamic entities; full coverage depends on CMS + routing.
C-011,P0,PASS,No noindex pages in sitemap,Search is noindex and excluded from sitemap; transactional/auth routes excluded.
C-012,P1,PASS,No redirecting URLs in sitemap,Template does not define application-level redirects; verify infra/CDN redirects separately.
C-013,P0,PARTIAL,No 404/error pages in sitemap,Spot-checked key URLs; full validation requires crawling all sitemap URLs.
C-014,P0,PASS,Sitemap uses canonical URLs only,Sitemap locs match canonical host derived from NEXT_PUBLIC_SITE_URL.
C-019,P0,PASS,Dynamic product pages in sitemap,Product URLs included.
C-020,P0,PASS,Dynamic category pages in sitemap,Category URLs included.
C-021,P1,PASS,Blog/content pages in sitemap,Blog URLs included.
C-022,P0,PASS,"Transactional pages excluded (cart, checkout)",Cart/checkout/order/account not present in sitemap.
C-023,P1,NA,"Auth pages excluded (login, register)",Auth removed from Basic Template.
C-024,P1,NA,Account pages excluded,Account area removed from Basic Template.
C-025,P0,PASS,"Important pages have index,follow (default)","Indexable pages rely on default index,follow (no meta robots) unless explicitly set."
C-026,P0,NA,Cart page has noindex,Cart removed.
C-027,P0,NA,Checkout pages have noindex,Checkout removed.
C-028,P1,NA,Account pages have noindex,Account removed.
C-029,P0,NA,Order confirmation has noindex,Order confirmation removed.
C-030,P1,PASS,Search results page strategy defined,"/search sets robots noindex,follow."
C-031,P0,NT,Filtered/sorted URLs handled (noindex or canonical),Needs explicit policy for filtered/sorted URLs (noindex vs canonical).
C-032,P1,NT,Pagination handled correctly,"Pagination is ""load more""; audit expects canonical/prev/next strategy if using paginated URLs."
C-034,P1,NA,Payment callback pages have noindex,Payment callback pages removed.
C-035,P0,PARTIAL,All indexable pages have canonical tags,Canonical tags verified on key routes; confirm all CMS-driven routes.
C-036,P0,PASS,Canonical tags are self-referencing on unique pages,Key routes use self-referencing canonicals.
C-037,P0,PASS,Canonical tags use absolute URLs,Canonicals are absolute URLs derived from NEXT_PUBLIC_SITE_URL.
C-038,P0,PASS,metadataBase configured in Next.js,metadataBase set in src/app/layout.tsx.
C-039,P0,NT,HTTP canonicals point to HTTPS,Depends on NEXT_PUBLIC_SITE_URL being https in production.
C-040,P0,NT,www vs non-www consistency,Depends on NEXT_PUBLIC_SITE_URL and infrastructure (www vs non-www).
C-041,P1,PASS,Trailing slash consistency,Canonicals strip trailing slash consistently.
C-042,P1,PASS,Query parameters handled in canonicals,Search canonicals drop query; filtered/sorted policy still needs decision.
C-043,P1,NT,Pagination canonicals correct,No rel prev/next; depends on pagination URL strategy.
C-044,P1,NT,Filtered URLs canonical to main page,Needs explicit canonical/noindex handling for facet URLs.
C-045,P1,NT,Duplicate content has cross-canonicals,Requires duplicate URL inventory.
C-046,P0,NA,Permanent redirects use 301 or 308,Redirects intentionally removed; handled per storefront.
C-047,P1,NA,No redirect chains (max 1 hop),Redirects intentionally removed; handled per storefront.
C-048,P0,NA,No redirect loops,Redirects intentionally removed; handled per storefront.
C-049,P1,NA,Old URLs redirect to new (slug changes),Redirects intentionally removed; handled per storefront.
C-050,P0,NT,HTTP to HTTPS redirect,HTTP->HTTPS is infrastructure-level (CDN/hosting) concern.
C-051,P1,NT,Non-www to www (or vice versa) redirect,www/non-www is infrastructure-level (CDN/hosting) concern.
U-001,P1,PASS,URLs are human-readable,URLs are readable slugs (category/product/blog).
U-002,P1,PASS,URLs use hyphens (not underscores),Slugs use hyphens.
U-003,P1,PASS,URLs are lowercase,Routes are lowercase.
U-005,P1,PARTIAL,URLs contain relevant keywords,Depends on content/slug conventions in Saleor/PartsLogic.
U-006,P0,PASS,No session IDs in URLs,No session IDs observed.
U-007,P1,PARTIAL,No unnecessary parameters,Search uses query params; indexability controlled via noindex.
U-008,P1,PASS,Consistent URL structure across site,"Consistent /product/, /category/, /blog/, /brand/ patterns."
U-009,P1,PASS,Product URLs use slugs (not IDs),Product pages use slug in /product/{slug}.
U-010,P1,PASS,Category URLs use slugs,Category pages use slug in /category/{slug}.
U-011,P1,PASS,Blog URLs use slugs,Blog uses /blog/{slug}.
U-012,P1,PARTIAL,Important pages within 3 clicks of homepage,Navigation exists; click-depth depends on menu config in Saleor.
U-013,P1,PASS,Logical URL hierarchy,Logical hierarchy for core entities.
U-014,P1,PASS,Flat architecture for products (not too deep),Products are flat URLs.
U-015,P1,NT,No orphan pages (all pages linked),Requires crawl of internal links.
U-016,P1,PASS,Clear navigation structure,Header/footer navigation present.
U-017,P1,PASS,Breadcrumb navigation present,"Breadcrumbs present on category/blog/static pages; PDP breadcrumb is via schema, visible breadcrumb varies."
U-018,P1,PARTIAL,Category hierarchy is logical,Depends on Saleor category tree.
U-019,P1,NT,Faceted navigation SEO handled,Facet URLs policy not fully defined.
O-001,P0,PARTIAL,Every page has a unique title tag,Titles present on key routes; full uniqueness requires crawl.
O-002,P1,NT,Titles are 50-60 characters,
O-003,P1,NT,Primary keyword near beginning of title,
O-005,P0,NT,No duplicate titles across pages,Requires crawl to detect duplicates.
O-006,P1,NT,Titles are compelling (encourage clicks),
O-007,P0,PASS,Product titles include product name,PDP title includes product name.
O-008,P0,PASS,Category titles include category name,Category title includes category name.
O-009,P0,PASS,Homepage title is optimized,Homepage title set to store name.
O-010,P0,PASS,generateMetadata used for dynamic pages,generateMetadata used for PDP/category/blog dynamic pages.
O-011,P1,NT,Every page has a meta description,
O-012,P1,NT,Descriptions are 150-160 characters,
O-013,P1,NT,Descriptions include primary keyword,
